rank	model	Brain-Score	V4	IT	I2n	ImageNet-top-1	operations	Feedforward-Simplicity
2	densenet-169	0.549	0.663	0.606	0.378	75.9	169	0.194935623
3	resnet-101_v2	0.542	0.653	0.585	0.389	77	101	0.216679065
4	densenet-201	0.541	0.655	0.601	0.368	77	201	0.188561664
5	densenet-121	0.541	0.657	0.597	0.369	74.5	121	0.208516196
6	resnet-152_v2	0.541	0.658	0.589	0.377	77.8	152	0.19904932
7	resnet-50_v2	0.54	0.653	0.589	0.377	75.6	50	0.255622219
8	xception	0.533	0.671	0.565	0.361	79	67	0.237829513
9	inception_v2	0.532	0.646	0.593	0.357	73.9
10	inception_v1	0.532	0.649	0.583	0.362	69.8
11	nasnet_mobile	0.53	0.65	0.598	0.342	74		0.205442819
12	pnasnet_large	0.528	0.644	0.59	0.351	82.9
13	inception_resnet_v2	0.528	0.639	0.593	0.352	80.4
14	nasnet_large	0.527	0.65	0.591	0.339	82.7	130	0.205442819
15	mobilenet_v2_0.75_224	0.527	0.613	0.59	0.377	69.8	151	0.199311187
16	vgg-19	0.525	0.672	0.566	0.338	71.1	19	0.339623272
17	mobilenet_v2_1.4_224	0.525	0.626	0.6	0.348	75	151	0.199311187
18	inception_v4	0.524	0.628	0.575	0.371	80.2	151	0.199311187
19	mobilenet_v1_1.0_224	0.524	0.623	0.601	0.347	70.9	41	0.269282508
20	mobilenet_v2_1.3_224	0.523	0.619	0.595	0.356	74.4	151	0.199311187
21	inception_v3	0.523	0.646	0.587	0.335	78
22	mobilenet_v2_0.75_192	0.522	0.613	0.594	0.359	68.7	151	0.199311187
23	mobilenet_v2_1.0_192	0.522	0.601	0.595	0.369	70.7	151	0.199311187
24	vgg-16	0.521	0.669	0.572	0.321	71.5	16	0.36067376
25	mobilenet_v1_0.75_224	0.519	0.618	0.592	0.346	68.4	41	0.269282508
26	mobilenet_v1_0.75_192	0.517	0.62	0.592	0.34	67.2	41	0.269282508
27	mobilenet_v2_1.0_224	0.517	0.612	0.591	0.348	71.8	151	0.199311187
28	mobilenet_v1_1.0_160	0.517	0.632	0.592	0.327	68	41	0.269282508
29	mobilenet_v1_1.0_192	0.516	0.629	0.594	0.325	70	41	0.269282508
30	mobilenet_v2_0.5_224	0.514	0.622	0.588	0.332	65.4	151	0.199311187
31	mobilenet_v2_1.0_160	0.513	0.602	0.599	0.337	68.8	151	0.199311187
32	mobilenet_v2_0.5_192	0.51	0.616	0.586	0.329	63.9	151	0.199311187
33	mobilenet_v2_0.75_160	0.509	0.605	0.594	0.328	66.4	151	0.199311187
34	mobilenet_v2_0.35_224	0.507	0.627	0.58	0.314	60.3	151	0.199311187
35	mobilenet_v2_0.5_160	0.506	0.625	0.582	0.31	61	151	0.199311187
36	mobilenet_v1_0.5_224	0.505	0.604	0.585	0.326	63.3	41	0.269282508
37	mobilenet_v1_0.5_192	0.503	0.614	0.578	0.318	61.7	41	0.269282508
38	mobilenet_v1_1.0_128	0.502	0.623	0.575	0.308	65.2	41	0.269282508
39	mobilenet_v1_0.75_160	0.502	0.623	0.581	0.301	65.3	41	0.269282508
40	mobilenet_v2_1.0_128	0.501	0.601	0.591	0.31	65.3	151	0.199311187
41	mobilenet_v2_0.35_160	0.5	0.619	0.577	0.303	55.7	151	0.199311187
42	mobilenet_v2_0.35_192	0.499	0.629	0.579	0.29	58.2	151	0.199311187
43	mobilenet_v1_0.75_128	0.498	0.636	0.573	0.284	62.1	41	0.269282508
44	mobilenet_v2_1.0_96	0.496	0.613	0.578	0.297	60.3	151	0.199311187
45	mobilenet_v2_0.75_128	0.496	0.608	0.578	0.302	63.2	151	0.199311187
46	mobilenet_v1_0.5_160	0.495	0.621	0.576	0.289	59.1	41	0.269282508
47	mobilenet_v2_0.75_96	0.494	0.62	0.575	0.286	58.8	151	0.199311187
48	resnet-18	0.491	0.645	0.583	0.364	69.76	18	0.345976256
49	mobilenet_v2_0.5_128	0.489	0.607	0.574	0.287	57.7	151	0.199311187
50	alexnet	0.488	0.631	0.589	0.245	57.7	8	0.480898347
51	squeezenet1_1	0.483	0.652	0.553	0.245	57.5    18  0.3459762562611936
52	mobilenet_v1_0.5_128	0.479	0.623	0.558	0.256	56.3	41	0.269282508
53	mobilenet_v1_0.25_224	0.478	0.619	0.574	0.24	49.8	41	0.269282508
54	mobilenet_v2_0.5_96	0.476	0.611	0.555	0.262	51.2	151	0.199311187
55	squeezenet1_0	0.476	0.641	0.542	0.245	57.5    18  0.3459762562611936
56	mobilenet_v2_0.35_128	0.472	0.613	0.55	0.253	50.8	151	0.199311187
57	mobilenet_v2_0.35_96	0.465	0.61	0.54	0.244	45.5	151	0.199311187
58	mobilenet_v1_0.25_192	0.464	0.6	0.551	0.242	47.7	41	0.269282508
59	mobilenet_v1_0.25_160	0.459	0.605	0.544	0.228	45.5	41	0.269282508
60	mobilenet_v1_0.25_128	0.455	0.619	0.527	0.22	41.5	41	0.269282508
61	cornet-z	.4906 0 0 0 0   5   0.6213349345596119
62	cornet-r	.4905 0 0 0 0   11  0.4170323914242463
63	cornet-s	.544 0 0 0 74.0 15 0.3693
